filepath,category,class,split
data\split\train\flowers\Abutilon\e2756496eb.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\76a961dfc4_aug0_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\38021371ad_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\66e1dc0cdc_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\e6e46f74cc_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\66e9897764_aug1_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\1bcd0e24cd_aug0_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\7843e2445f_aug0_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\87ef79ff1a_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\2a0767423f_aug0_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\50c404b35e.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\f84c310e32_aug1_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\f7f0dbfe3a_aug2.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\fb52a88de2_aug0_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\affac9f5ad_aug0_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\24d74cbb40_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\0b2bc088e2_aug2_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\4319d1b9bf_aug1.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\66e1dc0cdc_aug2_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\04f51e35e6_aug0_aug0.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\8a23457e6b.jpg,flowers,Abutilon,train
data\split\train\flowers\Abutilon\4b7e11ddb6_aug0_aug0.jpg,flowers,Abutilon,train
